0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
MorningPerson	0.08222976986589998	0.108142801336	0.09759999569589999	0.0775876720263	0.0805429015816	0.0834042972553	0.080616354093	0.0776655545838	0.07459371985339999	0.0873282072385	0.09045552167950001	0.06942362545469999	0.07402981904469999	0.0748077100364	0.0718448915433	0.08390627724460001	0.0822083785569	0.08001149239580001	0.08547499300210001	0.0782137729511
YearsOfEd2	0.0619612589924	0.0659225073877	0.0694691716678	0.0788175680689	0.085007431206	0.0654673065621	0.0740030824405	0.0706030853509	0.0728777488886	0.0762964779625	0.0660403531248	0.0680498831502	0.060954142892000004	0.073219668376	0.0774074814522	0.0789052083557	0.0877510875612	0.0682391141191	0.0653960088097	0.0689825605645
T2D2	0.118633534848	0.203022792414	0.154168802832	0.1414741058	0.128171095682	0.150100721054	0.149473166728	0.130271320718	0.140223101252	0.185695826146	0.115241034133	0.117787813753	0.114441079705	0.12069709772800001	0.11584277898499999	0.169590263328	0.115869089256	0.14262048528899998	0.155540520489	0.16799305215500002
SkinColor	0.320789623815	0.47929608462300005	0.31314766075399997	0.36402694934	0.40395941150799997	0.21791792567499998	0.207467327432	0.535638027159	0.283879134953	0.18715612616900001	0.231636217065	0.381934745648	0.252904586236	0.293110592774	0.292586224999	0.354307599308	1.09699318529	0.20577757040800002	0.209574897872	0.290720847263
Balding	0.15354230165	0.164615117826	0.180571383842	0.191074020014	0.140745761323	0.120641640809	0.163119565241	0.18868918836800003	0.11191412918600001	0.17456944069699998	0.245349200739	0.19854641738099998	0.128652374201	0.27006772884799995	0.130579552208	0.130116569355	0.157732579319	0.168924210986	0.142863455229	0.168455765676
HairColor	0.19205470061299998	0.24195302443000002	0.214598761367	0.323166470988	0.26250756194499997	0.285528670079	0.16061061396600002	0.20235203903299998	0.139179358474	0.150135172076	0.208241081153	0.20125850662500003	0.19106857865200003	0.152016037966	0.24523670718	0.270874772986	0.537486299594	0.199790623644	0.19996156495499998	0.215191110277
FVC	0.0651870070056	0.0688226929496	0.0650154918924	0.08754752816780001	0.0788313855451	0.0677042258098	0.0677793407424	0.07236299958480001	0.0595777467483	0.0625813425923	0.0733399497633	0.0661499667666	0.0580402002326	0.06826515766890001	0.0691252245496	0.06279184903940001	0.08041267142860001	0.0667475133249	0.0791584639291	0.079297385004
ASD	0.297479131834	0.279919626441	0.283468751914	0.252014852044	0.251438517678	0.272017048847	0.257704894337	0.238498110313	0.25252138219799997	0.23056546938900002	0.25080878358	0.254488255933	0.23773100525	0.27959615616	0.243725673998	0.257121829957	0.262371626078	0.274654958486	0.239691227498	0.24964497055799997
Sunburn	0.18132191551100002	0.328955166532	0.29486410937699997	0.184288331221	0.186320784601	0.149594049551	0.137102154702	0.442136880273	0.13349486314	0.1349820123	0.147820181933	0.241892741165	0.19598005320999998	0.16908965927499997	0.17913585696400003	0.209524171155	0.37155519339500004	0.161661241469	0.16817917247000003	0.192795581959
Schizophrenia	0.08909783913560002	0.09268108444949999	0.0913643038398	0.09795329685210001	0.0925391686854	0.09152002211989999	0.0769372588768	0.0827616555001	0.08578383613639999	0.100545108547	0.0734667471612	0.08496726011110001	0.09276625603119999	0.0880195233752	0.08124916101910001	0.0923716887741	0.102766244643	0.09145160751910002	0.09483980069049999	0.08994417705569999
Anorexia	0.23077851637	0.235847771071	0.243573955275	0.228021944018	0.212846027815	0.250825892849	0.265024452186	0.241996070466	0.24191944130999998	0.222789181286	0.20818946937	0.22208391255600002	0.20894275080699998	0.217626132284	0.22405201069000003	0.255725701855	0.242212851118	0.222555656853	0.228842442097	0.229835601941
SmokingStatus	0.0786007914871	0.088155457328	0.0893709548847	0.0829045346282	0.0825911722185	0.0828659066263	0.074555458882	0.0822062681568	0.0859113537267	0.0849162669492	0.0831995386243	0.0801543650715	0.0834238235878	0.08445177678339999	0.0747621491429	0.0872382847616	0.08447232675489999	0.0795346338553	0.0771916884396	0.08536366070399999
FirstBirthAge	0.13390042731899998	0.131576449185	0.136118405144	0.139363771364	0.13134159896199998	0.135959742836	0.125104742199	0.140066515338	0.124212038311	0.124387712696	0.13131932370899999	0.129262769474	0.13448423680299998	0.12814061622	0.130336499553	0.150008522356	0.14436992355	0.150984579845	0.146041850556	0.122550725263
Tanning	0.250964231264	0.527043763407	0.33040293142099997	0.272302745984	0.333958607402	0.260496909815	0.162444997776	0.503323326669	0.24391557495700003	0.146077129077	0.209583898392	0.370769265529	0.242796575932	0.209813541937	0.269821490229	0.32380271394	0.5988938108690001	0.21414052152899998	0.199140249903	0.21786398281199998
NumChildrenBorn	0.250408292593	0.243005628493	0.247865979089	0.215327286875	0.222790093539	0.196222232707	0.219490397929	0.242601723988	0.217178390464	0.217271346826	0.217469929123	0.239024256298	0.222460193234	0.227613800559	0.213688425105	0.24215390401999998	0.234063768218	0.276598773307	0.27070615832600003	0.22909214941599998
DepressiveSxs	0.23159598155299999	0.232844061335	0.260500536489	0.218120456853	0.21635425303599998	0.242698478193	0.263052045899	0.250179986367	0.23570926821	0.24142069267799998	0.242631471206	0.23523863342300003	0.23463443698699998	0.223696676839	0.238924592784	0.237722929021	0.223606543191	0.26785468480999997	0.258294001793	0.25627050629500003
BMI2	0.054638051319699996	0.0834198065735	0.09478846705939999	0.07236445534689999	0.057414235385800004	0.0776536516792	0.0624612685654	0.0786536321915	0.0751054024267	0.0686812676654	0.061065782870500004	0.065824869721	0.0779561715527	0.0644705259672	0.0661683780438	0.06540171079769999	0.0758586224272	0.0650564215351	0.06725927618869999	0.0719280433226
