0	Q1of4_200kbBookendBoundaries_removeGaps.bed	Q2of4_200kbBookendBoundaries_removeGaps.bed	Q3of4_200kbBookendBoundaries_removeGaps.bed	Q4of4_200kbBookendBoundaries_removeGaps.bed
MorningPerson	0.88396558904	1.0321865641299999	0.993896966807	0.886354064472
YearsOfEd2	0.9845569448799999	0.939020601112	1.00919279634	0.9233566297939999
T2D2	0.756562968582	0.968333344236	1.26227330544	1.11882379511
SkinColor	1.43159408968	1.13173271118	1.17595421183	0.802627265676
Balding	0.829203585658	0.8871485899079999	1.04338967185	1.09853226597
HairColor	0.9896415781460001	0.9930753487780001	1.0938112928200001	1.1108363230299998
FVC	0.999455388328	0.965573057342	1.12567362379	1.0939593663299998
ASD	1.17002191627	0.840315550244	1.04071033548	0.988312658909
Sunburn	1.5693842041100001	0.9823053728059999	1.1245904358	0.836040014844
Schizophrenia	0.8505938656540001	0.9885376621430001	1.0626600901	0.9769686796420001
Anorexia	1.0092788965200001	1.12651938916	1.0420664216	0.715652630414
SmokingStatus	0.972150861098	0.985258444251	1.0017760898799999	0.8206070638259999
FirstBirthAge	1.0858920764700002	0.897739514146	1.08793567372	0.808738204746
Tanning	1.7011668056799998	1.04599908346	1.10787252433	0.732179784896
NumChildrenBorn	1.16994115471	0.932192916542	1.06214485357	0.8061863478200001
DepressiveSxs	1.19327551883	1.20891847809	0.868051621065	0.816709098825
BMI2	0.934961462152	1.029680605	1.04999694821	0.950243944807
Neuroticism	0.937722288283	1.15589655448	1.00207090161	0.735304328814
MenarcheAge	0.866449262924	0.986763546077	1.10701212694	1.0562869417899998
Heel_T_Score	0.915311316741	1.13716798083	1.1455135622200001	1.04412971788
Eczema	0.9347358726989999	1.03670613705	1.36441755176	1.14833644886
SystolicBP	0.786450337858	1.0723079489700003	1.2702896072299998	1.10278431023
AutoimmuneDz	0.8352045655179999	1.1976236579600001	1.5007429863600001	1.20943256837
MenopauseAge	0.8530019700049999	1.1024724451999999	1.1719655034799998	1.56232031157
WaistHipRatio	0.819539224895	1.1520625711799999	1.05904872199	1.13684523714
RBCCount	0.884976549787	1.0637822843	1.3917960948800001	1.13161841018
EosinophilCount	0.903224853365	1.10493370119	1.25791116567	1.33619235386
Resp_ENT_Dz	0.876034911787	1.21402308412	1.25372448725	1.02604593299
RA	0.54916818917	1.15599145417	1.13470382169	1.5639269671399998
PlateletCount	0.692597869154	1.1972693028599999	1.47731928962	1.30923242989
HDL	0.722190773143	1.3073012312299999	1.3395715665299999	1.2687385367
UC	0.7264443686750001	1.25893011961	1.51927004414	1.0114908251999999
Hypothyroidism	0.622562005308	1.09608157884	1.44255355209	1.30804376081
WBCCount	0.728363951639	1.09563758316	1.36622155369	1.3684015962600002
LDL	0.465585903238	1.29774538276	1.77484533314	1.5638014297
CrohnsDz	0.7899732018619999	1.12991326659	1.33720786424	1.1035370426
Height2	0.849512537541	1.0979450791399998	1.21494228324	1.25350757472
DermDz	1.1158644541299998	0.951432789847	1.58985913262	1.23995925528
FEV1_FVC_Ratio	0.816836994965	1.06925814634	1.17218437542	1.1694812254200002
RDW	0.765291556003	1.28935318971	1.42766277033	1.4427151784299999
HighCholesterol	0.46675026771000006	1.18152330738	1.63402082389	1.3288978149600001
